Player	Team	game1	game2	game3	game4	game5	game6	game7	game8	game9	game10	game11	game12	game13	game14	game15	game16
Μάζιτς	Olympiakos	14	3	23	8	6	6	6	14	15	9	10	12	7	4		
Σταμάτη	Olympiakos	8	3	11	12	9	5	4	6	5	11	6	25	3	13		
Σπυριδοπούλου	Olympiakos	6	7	18	19	14	3	NA	0	6	14	11	2	7	10		
Χατζηνικολάου	Olympiakos	NA	10	5	7	2	4	8	4	13	8	8	19	7	7		
Κοσμά	Olympiakos	0	NA	NA	NA	NA	NA	NA	NA	NA	3	2	0	2	0		
Μπαλτά	Olympiakos	0	0	0	NA	9	NA	3	0	0	NA	0	0	0	3		
Νικολοπούλου	Olympiakos	7	13	3	5	3	6	2	0	2	4	NA	0	NA	0		
Χαλιβέρα	Olympiakos	3	0	4	9	14	6	0	0	4	0	2	3	NA	NA		
Σωτηρίου	Olympiakos	8	6	9	NA	10	4	8	3	9	NA	8	13	0	8		
Καλτσίδου	Olympiakos	17	6	7	8	9	19	20	8	13	6	12	13	8	13		
Άντερσον	Olympiakos	10	6	7	20	12	0	20	18	1	11	12	4	11	13		
Μακόλι	Olympiakos	6	13	15	11	21	4	21	16	20	12	13	NA	7	16		
Μάλτση	Olympiakos	NA	NA	NA	NA	NA	19	8	13	13	NA	13	11	23	13		
Κασδάγλη	Panathinaikos	6	7	0	3	2	5	11	4	0	6	NA	2	0	1		
Τσινέκε K	Panathinaikos	13	17	28	8	20	12	16	13	8	14	12	17	25	20		
Ακρίβου	Panathinaikos	0	2	2	0	11	8	1	1	2	0	5	12	2	5		
Τσέτα	Panathinaikos	2	2	0	0	0	0	0	3	4	4	0	NA	NA	NA		
Κοίλια Π.	Panathinaikos	0	2	4	0	0	1	5	1	4	4	NA	3	6	6		
Κοίλια Ν.	Panathinaikos	0	1	3	6	0	0	0	NA	0	2	NA	NA	NA	NA		
Μπρούλια	Panathinaikos	0	0	NA	NA	0	0	0	0	1	0	11	0	2	6		
Γκαγκανάτσου	Panathinaikos	0	0	0	2	NA	NA	NA	6	3	NA	NA	NA	0	NA		
Νούλα	Panathinaikos	0	NA	0	0	0	NA	NA	2	NA	4	NA	0	2	0		
Κακαρά	Panathinaikos	0	NA	0	0	0	NA	NA	6	2	NA	NA	0	NA	0		
Εζέτσα	Panathinaikos	12	18	16	17	13	3	13	10	21	NA	15	6	16	14		
Κακούρη	Panathinaikos	0	0	0	0	0	0	2	0	NA	3	2	0	0	0		
Γάτου	Panathinaikos	NA	0	0	0	NA	2	0	0	0	3	0	0	NA	0		
Ζαρή	Panathinaikos	NA	0	NA	NA	0	0	NA	NA	5	8	2	0	0	1		
Μουρίκη	Panathinaikos	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA		
